ts	phase	decision	why	evidence	result
2026-09-21T19:59:11Z	real-session	the trust prompt now defaults to No, exit; sent Down then Enter through fm-send instead of the documented bare Enter	a bare Enter would have closed the worker; the adapter note was verified on an older claude	/tmp/fm-real-session-3/evidence/pane-t0.txt (claude 2.1.278)	finding 4: harness drift in the trust prompt, adapter reference is stale
2026-09-21T19:59:12Z	real-session	the worker (sonnet, low effort) refused its launch instructions as a possible prompt injection, and refused the inbox doorbell the same way without checking that the paths exist	this is the 'work is done' half of the captain's ask, and it did not happen	/tmp/fm-real-session-3/evidence/pane-worker-declined-brief.txt, pane-t2.txt	NOT VERIFIED: no work done. Suspects: model and effort, /tmp-style paths that look unreal to a native Windows claude. Counter-test next
2026-09-21T20:08:43Z	real-session	stopped and cleaned up the refusing worker through fm-control and fm-teardown	also exercises the control and cleanup paths for real	/tmp/fm-verification-artifacts/real-session-20260921/run3	teardown removed the tab, returned the worktree and closed the item; fm-control reported already-stopped while teardown then killed a live claude.exe, a possible misread to check later
2026-09-21T20:08:44Z	real-session	counter-test: same setup, default worker model instead of sonnet at low effort	change one variable to find why the worker refused	/tmp/fm-verification-artifacts/real-session-20260921/run4/pane-t1.txt; status lines working then done	VERIFIED cause: the default model (Opus 5) followed the brief in 1m18s; the refusal belongs to the smaller model at low effort, not to the paths
2026-09-21T20:08:44Z	real-session	checked the worker's result myself, landed it with fm-merge-local, cleaned up with fm-teardown	a status line is the worker's claim, not proof	/tmp/fm-verification-artifacts/real-session-20260921/run4/work-check.txt, merge.txt, teardown.txt	VERIFIED end to end on the fixed code: both outputs exact, primary checkout untouched, main fast-forwarded 798a45c to 64324b0, tab gone, worktree returned, item done, only home-summary.json left in state
2026-09-21T20:19:29Z	fix	opened PR 71 for the pane PATH fix with the red and green runs in its description	one theme per PR; the fix is independent of the gate work	https://github.com/EvanBatten/firstmate-for-windows/pull/71	CI running
2026-09-21T20:19:30Z	real-session	turned the hand-run into tests/verification/real-session.verify.sh, opt-in because it spends tokens and opens a visible tab	a proof a reviewer can rerun beats my account of one run	fm-issues/h1 tests/verification/real-session.verify.sh	VERIFIED: 12 claims pass through the verify-firstmate skill; evidence /tmp/fm-verification-artifacts/h1-1428162360/20260921T201556Z-e4fe2e0-60238/real-session
2026-09-21T20:19:32Z	findings	filed the defects the real session exposed instead of fixing them all now	the captain asked to verify first and fix after; only the PATH defect blocked verification itself	issues 72 73 74 75 76 77, comment on 64	6 issues open, 1 comment
2026-09-21T20:19:32Z	coverage	wrote a measurement tool that traces which bin scripts the suite really executes, instead of hand-listing coverage	a coverage claim needs evidence the code ran; a BASH_ENV hook records every script a run starts	fm-issues/h1 tests/verification/coverage.sh	first full measurement running
2026-09-21T20:44:36Z	shipping	merged PR 71, the pane PATH fix	13 of 13 checks green, standing permission	https://github.com/EvanBatten/firstmate-for-windows/pull/71 merge 070e78c	merged
2026-09-21T20:44:36Z	coverage	first measurement of the whole suite, real-session skipped	baseline before adding anything	/tmp/fm-verification-artifacts/h1-coverage-20260921/coverage/coverage.tsv at e4fe2e0	53 of 163 bin scripts really run (17 of 112 entry points, 36 of 51 libraries); 152 named by a suite; 6 neither. vanished-endpoint-recovery now passes because PR 67 landed
2026-09-21T20:44:37Z	check	built bin/fm-check.sh as an ordering of the existing gates instead of a new rule set, and fixed the changed-file base in fm-lint and fm-test-run	hard-rules says extend the existing check, and a local check is unusable here while the base is origin/main	fm-issues/k1; PR 78	static run about 10s on a branch
2026-09-21T20:44:38Z	check	proved each rule with a seeded violation run through the full check, from a script that restores the tree	a rule that never fails on its seed is not a rule	scratchpad/seed-proof.sh, seed-proof.out; PR 78 body	5 of 5 seeds fail at the intended layer naming the rule; clean tree passes; hook exits 0 clean and 1 seeded; base-ref case red with the fix reverted
2026-09-21T20:55:30Z	real-session	reran the scripted real session under the coverage tracer and it failed	one pass is not a proof of a script that waits on a terminal UI	/tmp/fm-verification-artifacts/h1-coverage-20260921/real-session/transcript.txt, pane-31-finished.txt	NOT VERIFIED on the second run: my script sent Enter before the trust prompt had moved to Yes, which confirmed No and closed the worker, then it waited the full 900s
2026-09-21T20:55:32Z	real-session	fixed the script to wait until the pane shows the cursor on Yes before Enter, to fail fast when the pane is back at a shell prompt, and to quote readable pane lines	the first version passed by luck of timing; the same race is the real hazard issue 76 describes for firstmate itself	fm-issues/h1 tests/verification/real-session.verify.sh	rerun in progress
2026-09-21T20:56:42Z	check	PR 78's Lint job failed in CI because the three new files were committed without the executable bit	git on Windows does not record file modes; I checked the index instead of guessing	git ls-files -s showed 100644 for bin/fm-check.sh, .githooks/pre-push, tests/fm-check.test.sh	fixed with update-index --chmod=+x and pushed; lesson saved to memory, not made a lint because sourced libraries are correctly 100644
2026-09-21T21:02:12Z	real-session	third scripted real-session run, after the fix, under the coverage tracer	confirm the fix on the path that failed	/tmp/fm-verification-artifacts/h1-coverage-20260921/real-session/transcript.txt	VERIFIED: passes; 2 of 3 scripted runs passed overall and the failure was the script's own race
2026-09-21T21:02:13Z	coverage	committed the measurement as tests/verification/coverage.tsv and opened PR 79 with the real-session script and the coverage tool	the ledger is the artifact a reviewer can diff when coverage moves	https://github.com/EvanBatten/firstmate-for-windows/pull/79	61 of 163 really run, 152 named by a suite, 6 by nothing; no gate reads it yet
2026-09-21T21:02:14Z	scope	stopped short of covering every feature: no coverage gate, no new scripts for the 95 entry points with no real-run proof	the measurement shows the gap is about two thirds of the entry points, which is many sessions of work, not one	tests/verification/coverage.tsv	open: next is a gate that requires a ledger row per bin script, then scripts for scouts, steering, the PR paths and recovery
2026-09-21T21:03:33Z	plan	dropped the hand-written feature registry from the plan and measured coverage per bin script instead	a registry I fill in by hand is a claim; a trace of what ran is evidence, and the scripts index only lists 123 of 163 scripts so there was no trustworthy list to start from	docs/scripts.md misses 40 bin scripts; tests/verification/coverage.sh	supersedes step 2 of the plan row
2026-09-21T21:03:33Z	real-session	closed everything my runs opened in the captain's Herdr session: two orphan tabs from failed spawns and four probe tabs	the spawn's own cleanup refuses, and leaving tabs in a session he watches is worse than closing my own	herdr tab list shows no fm-greet, fm-vrs or fm-path tab	clean
2026-09-21T21:03:34Z	scope	corrects the scope row: with the real session included, 90 of 112 entry points have no real-run proof, not 95	the 95 was the count before the real-session trace was added	tests/verification/coverage.tsv at PR 79	supersedes the count in the scope row
2026-09-21T21:03:35Z	cleanup	removed the six throwaway treehouse pools and four scratch homes my runs created, after copying their evidence out	all six pools were named demo-* and held only the throwaway greet work; no other pool was touched	ls ~/.treehouse shows no demo-*; evidence in fm-verification-artifacts/real-session-20260921 and h1-*	clean
2026-09-21T21:03:36Z	audit	no cross-model review of this trail was run	it needs a helper agent, and this session cannot start one (guard, see the fourth frame row)	bin/fm-subagent-pretool-check.sh	open: rerun the review in a session launched with FM_ALLOW_SUBAGENT=1
